ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
1054944,9343,11,100.0,09:30:10,2021/03/15,83858,1,1,21,2021-03-15 09:30:10.000,1615788010,Operation,1,12,1
1054946,9343,11,110.0,09:03:48,2021/03/16,83741,1,1,21,2021-03-16 09:03:48.000,1615872828,Operation,1,12,1
1054960,9357,11,16.0,09:07:34,2021/03/16,83741,1,1,21,2021-03-16 09:07:34.000,1615873054,Operation,1,12,1
1055020,8332,11,30.0,10:19:48,2021/03/17,83808,1,1,24,2021-03-17 10:19:48.000,1615963788,Operation,1,12,1
1055669,9343,11,96.0,12:23:42,2021/03/17,83683,1,1,21,2021-03-17 12:23:42.000,1615971222,Operation,1,12,1
1055683,9357,11,28.0,12:30:12,2021/03/17,83683,1,1,21,2021-03-17 12:30:12.000,1615971612,Operation,1,12,1
1055797,9343,11,102.0,09:33:54,2021/03/18,83771,1,1,21,2021-03-18 09:33:54.000,1616047434,Operation,1,12,1
1055811,9357,11,24.0,09:40:34,2021/03/18,83771,1,1,21,2021-03-18 09:40:34.000,1616047834,Operation,1,12,1
1055869,9343,11,103.0,09:09:17,2021/03/19,83736,1,1,21,2021-03-19 09:09:17.000,1616132357,Operation,0,12,1
1055872,9343,11,33.0,12:01:17,2021/03/19,83736,1,1,21,2021-03-19 12:01:17.000,1616142677,Operation,0,12,1
1055886,9357,11,25.0,12:04:10,2021/03/19,83736,1,1,21,2021-03-19 12:04:10.000,1616142850,Operation,0,12,1
1056942,8330,11,30.0,12:41:51,2021/03/17,83808,1,1,24,2021-03-17 12:41:51.000,1615972311,Operation,1,12,1
1056943,8331,11,61.0,12:42:11,2021/03/17,83808,1,1,24,2021-03-17 12:42:11.000,1615972331,Operation,1,12,1
1056944,8332,11,30.0,12:42:18,2021/03/17,83808,1,1,24,2021-03-17 12:42:18.000,1615972338,Operation,1,12,1
1056945,8333,11,37.0,12:42:22,2021/03/17,83808,1,1,24,2021-03-17 12:42:22.000,1615972342,Operation,1,12,1
1056947,8335,11,4.3,12:44:21,2021/03/17,83808,1,1,24,2021-03-17 12:44:21.000,1615972461,Operation,1,12,1
