ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
1054978,9375,11,55.0,09:10:04,2021/03/16,83741,1,1,21,2021-03-16 09:10:04.000,1615873204,Operation,1,12,1
1055703,9375,11,53.0,12:40:23,2021/03/17,83683,1,1,21,2021-03-17 12:40:23.000,1615972223,Operation,1,12,1
1055831,9375,11,49.0,09:45:53,2021/03/18,83771,1,1,21,2021-03-18 09:45:53.000,1616048153,Operation,1,12,1
1055906,9375,11,50.0,12:06:44,2021/03/19,83736,1,1,21,2021-03-19 12:06:44.000,1616143004,Operation,0,12,1
1056953,8341,11,0.23,12:46:14,2021/03/17,83808,1,1,24,2021-03-17 12:46:14.000,1615972574,Operation,1,12,1
1056954,8342,11,12.3,12:46:25,2021/03/17,83808,1,1,24,2021-03-17 12:46:25.000,1615972585,Operation,1,12,1
1056955,8343,11,66.0,12:46:31,2021/03/17,83808,1,1,24,2021-03-17 12:46:31.000,1615972591,Operation,1,12,1
1056956,8344,11,-205.0,12:46:43,2021/03/17,83808,1,1,24,2021-03-17 12:46:43.000,1615972603,Operation,1,12,1
1056958,8346,11,7.9,12:49:14,2021/03/17,83808,1,1,24,2021-03-17 12:49:14.000,1615972754,Operation,1,12,1
1056987,8341,11,0.21,12:14:03,2021/03/18,83825,1,1,24,2021-03-18 12:14:03.000,1616057043,Operation,1,12,1
1056988,8342,11,12.3,12:14:11,2021/03/18,83825,1,1,24,2021-03-18 12:14:11.000,1616057051,Operation,1,12,1
1056989,8343,11,63.0,12:14:20,2021/03/18,83825,1,1,24,2021-03-18 12:14:20.000,1616057060,Operation,1,12,1
1056990,8344,11,-205.0,12:14:28,2021/03/18,83825,1,1,24,2021-03-18 12:14:28.000,1616057068,Operation,1,12,1
1056992,8346,11,7.9,12:14:40,2021/03/18,83825,1,1,24,2021-03-18 12:14:40.000,1616057080,Operation,1,12,1
1056995,9286,11,8.0,12:16:01,2021/03/18,83825,1,1,24,2021-03-18 12:16:01.000,1616057161,Operation,1,12,1
1056996,9287,11,1.45,12:16:08,2021/03/18,83825,1,1,24,2021-03-18 12:16:08.000,1616057168,Operation,1,12,1
1057021,8341,11,0.21,12:31:53,2021/03/19,83712,1,1,24,2021-03-19 12:31:53.000,1616144513,Operation,0,12,1
1057022,8342,11,12.3,12:32:02,2021/03/19,83712,1,1,24,2021-03-19 12:32:02.000,1616144522,Operation,0,12,1
1057023,8343,11,62.0,12:32:09,2021/03/19,83712,1,1,24,2021-03-19 12:32:09.000,1616144529,Operation,0,12,1
1057024,8344,11,-205.0,12:32:15,2021/03/19,83712,1,1,24,2021-03-19 12:32:15.000,1616144535,Operation,0,12,1
1057026,8346,11,0.0,12:32:34,2021/03/19,83712,1,1,24,2021-03-19 12:32:34.000,1616144554,Operation,0,12,1
1057029,9286,11,8.1,12:33:56,2021/03/19,83712,1,1,24,2021-03-19 12:33:56.000,1616144636,Operation,0,12,1
1057030,9287,11,1.38,12:34:03,2021/03/19,83712,1,1,24,2021-03-19 12:34:03.000,1616144643,Operation,0,12,1
1057893,9375,11,44.0,21:18:22,2021/03/20,83736,1,1,21,2021-03-20 21:18:22.000,1616262502,Operation,0,12,1
1058007,9375,11,43.0,23:22:49,2021/03/20,83736,1,1,21,2021-03-20 23:22:49.000,1616269969,Operation,0,12,1
1058135,9375,11,49.0,02:34:32,2021/03/21,83706,1,1,21,2021-03-21 02:34:32.000,1616281472,Operation,0,12,1
1058263,9375,11,52.0,05:43:50,2021/03/21,83736,1,1,21,2021-03-21 05:43:50.000,1616292830,Operation,0,12,1
1059671,9375,11,53.0,08:22:53,2021/03/21,83683,1,1,21,2021-03-21 08:22:53.000,1616302373,Operation,0,12,1
1059799,9375,11,49.0,11:13:48,2021/03/21,83770,1,1,21,2021-03-21 11:13:48.000,1616312628,Operation,0,12,1
1059927,9375,11,51.0,14:07:44,2021/03/21,83770,1,1,21,2021-03-21 14:07:44.000,1616323064,Operation,0,12,1
1060055,9375,11,50.0,17:07:50,2021/03/21,83770,1,1,21,2021-03-21 17:07:50.000,1616333870,Operation,0,12,1
1061667,8341,11,0.25,21:19:02,2021/03/20,83809,1,1,24,2021-03-20 21:19:02.000,1616262542,Operation,0,12,1
1061668,8342,11,12.3,21:19:10,2021/03/20,83809,1,1,24,2021-03-20 21:19:10.000,1616262550,Operation,0,12,1
1061669,8343,11,61.0,21:19:26,2021/03/20,83809,1,1,24,2021-03-20 21:19:26.000,1616262566,Operation,0,12,1
1061670,8344,11,-200.0,21:19:33,2021/03/20,83809,1,1,24,2021-03-20 21:19:33.000,1616262573,Operation,0,12,1
1061672,8346,11,7.8,21:19:50,2021/03/20,83809,1,1,24,2021-03-20 21:19:50.000,1616262590,Operation,0,12,1
1061673,9286,11,8.0,21:20:24,2021/03/20,83809,1,1,24,2021-03-20 21:20:24.000,1616262624,Operation,0,12,1
1061674,9287,11,1.38,21:20:31,2021/03/20,83809,1,1,24,2021-03-20 21:20:31.000,1616262631,Operation,0,12,1
1061753,8341,11,0.23,23:35:58,2021/03/20,83712,1,1,24,2021-03-20 23:35:58.000,1616270758,Operation,0,12,1
1061754,8342,11,12.3,23:36:03,2021/03/20,83712,1,1,24,2021-03-20 23:36:03.000,1616270763,Operation,0,12,1
1061755,8343,11,58.0,23:36:16,2021/03/20,83712,1,1,24,2021-03-20 23:36:16.000,1616270776,Operation,0,12,1
1068160,8341,11,0.22,20:37:01,2021/03/21,83712,1,1,24,2021-03-21 20:37:01.000,1616346421,Operation,0,12,1
1068161,8342,11,12.3,20:37:19,2021/03/21,83712,1,1,24,2021-03-21 20:37:19.000,1616346439,Operation,0,12,1
1068162,8343,11,61.0,20:37:42,2021/03/21,83712,1,1,24,2021-03-21 20:37:42.000,1616346462,Operation,0,12,1
1068163,8344,11,-205.0,20:37:48,2021/03/21,83712,1,1,24,2021-03-21 20:37:48.000,1616346468,Operation,0,12,1
1068165,8346,11,7.8,20:37:55,2021/03/21,83712,1,1,24,2021-03-21 20:37:55.000,1616346475,Operation,0,12,1
1068166,9286,11,8.1,20:38:03,2021/03/21,83712,1,1,24,2021-03-21 20:38:03.000,1616346483,Operation,0,12,1
1068167,9287,11,1.38,20:38:07,2021/03/21,83712,1,1,24,2021-03-21 20:38:07.000,1616346487,Operation,0,12,1
1068272,8341,11,0.2,23:46:33,2021/03/21,83698,1,1,24,2021-03-21 23:46:33.000,1616357793,Operation,0,12,1
1068273,8342,11,12.3,23:46:36,2021/03/21,83698,1,1,24,2021-03-21 23:46:36.000,1616357796,Operation,0,12,1
1068274,8343,11,65.0,23:46:40,2021/03/21,83698,1,1,24,2021-03-21 23:46:40.000,1616357800,Operation,0,12,1
1068275,8344,11,-200.0,23:46:44,2021/03/21,83698,1,1,24,2021-03-21 23:46:44.000,1616357804,Operation,0,12,1
1068277,8346,11,7.8,23:46:55,2021/03/21,83698,1,1,24,2021-03-21 23:46:55.000,1616357815,Operation,0,12,1
1068280,9286,11,8.0,23:47:25,2021/03/21,83698,1,1,24,2021-03-21 23:47:25.000,1616357845,Operation,0,12,1
1068281,9287,11,1.35,23:47:32,2021/03/21,83698,1,1,24,2021-03-21 23:47:32.000,1616357852,Operation,0,12,1
1068372,8341,11,0.2,02:15:31,2021/03/22,83698,1,1,24,2021-03-22 02:15:31.000,1616363131,Operation,0,12,1
1068373,8342,11,12.3,02:15:34,2021/03/22,83698,1,1,24,2021-03-22 02:15:34.000,1616363134,Operation,0,12,1
1068374,8343,11,64.0,02:15:37,2021/03/22,83698,1,1,24,2021-03-22 02:15:37.000,1616363137,Operation,0,12,1
1068375,8344,11,-200.0,02:15:40,2021/03/22,83698,1,1,24,2021-03-22 02:15:40.000,1616363140,Operation,0,12,1
1068377,8346,11,7.8,02:15:49,2021/03/22,83698,1,1,24,2021-03-22 02:15:49.000,1616363149,Operation,0,12,1
1068380,9286,11,8.0,02:16:11,2021/03/22,83698,1,1,24,2021-03-22 02:16:11.000,1616363171,Operation,0,12,1
1068381,9287,11,1.36,02:16:15,2021/03/22,83698,1,1,24,2021-03-22 02:16:15.000,1616363175,Operation,0,12,1
1068481,8341,11,0.21,05:09:53,2021/03/22,83712,1,1,24,2021-03-22 05:09:53.000,1616373593,Operation,0,12,1
1068482,8342,11,12.3,05:09:56,2021/03/22,83712,1,1,24,2021-03-22 05:09:56.000,1616373596,Operation,0,12,1
1068483,8343,11,63.0,05:10:02,2021/03/22,83712,1,1,24,2021-03-22 05:10:02.000,1616373602,Operation,0,12,1
1068484,8344,11,-200.0,05:10:08,2021/03/22,83712,1,1,24,2021-03-22 05:10:08.000,1616373608,Operation,0,12,1
1068486,8346,11,7.8,05:10:14,2021/03/22,83712,1,1,24,2021-03-22 05:10:14.000,1616373614,Operation,0,12,1
1068487,9286,11,8.1,05:10:21,2021/03/22,83712,1,1,24,2021-03-22 05:10:21.000,1616373621,Operation,0,12,1
1068488,9287,11,1.36,05:10:24,2021/03/22,83712,1,1,24,2021-03-22 05:10:24.000,1616373624,Operation,0,12,1
1068590,9286,11,8.0,09:13:39,2021/03/22,83793,1,1,24,2021-03-22 09:13:39.000,1616388219,Operation,0,20210322094711,1
1068591,9287,11,1.39,09:13:50,2021/03/22,83793,1,1,24,2021-03-22 09:13:50.000,1616388230,Operation,0,20210322094711,1
1068592,8341,11,0.25,09:14:10,2021/03/22,83793,1,1,24,2021-03-22 09:14:10.000,1616388250,Operation,0,20210322094711,1
1068593,8342,11,12.3,09:14:19,2021/03/22,83793,1,1,24,2021-03-22 09:14:19.000,1616388259,Operation,0,20210322094711,1
1068594,8343,11,65.0,09:14:26,2021/03/22,83793,1,1,24,2021-03-22 09:14:26.000,1616388266,Operation,0,20210322094711,1
1068595,8344,11,-205.0,09:14:43,2021/03/22,83793,1,1,24,2021-03-22 09:14:43.000,1616388283,Operation,0,20210322094711,1
1068597,8346,11,7.8,09:15:07,2021/03/22,83793,1,1,24,2021-03-22 09:15:07.000,1616388307,Operation,0,20210322094711,1
1071755,9375,11,46.0,20:25:20,2021/03/21,83783,1,1,21,2021-03-21 20:25:20.000,1616345720,Operation,0,12,1
1071883,9375,11,50.0,23:11:10,2021/03/21,83776,1,1,21,2021-03-21 23:11:10.000,1616355670,Operation,0,12,1
1072011,9375,11,54.0,02:25:17,2021/03/22,83776,1,1,21,2021-03-22 02:25:17.000,1616363717,Operation,0,12,1
1072083,9375,11,52.0,05:04:54,2021/03/22,83783,1,1,21,2021-03-22 05:04:54.000,1616373294,Operation,0,12,1
1072267,9375,11,54.0,09:05:34,2021/03/22,83715,1,1,21,2021-03-22 09:05:34.000,1616387734,Operation,0,20210322094711,1
1072395,9375,11,48.0,11:47:10,2021/03/22,83715,1,1,21,2021-03-22 11:47:10.000,1616397430,Operation,0,20210322094711,1
1061756,8344,11,-205.0,23:36:46,2021/03/20,83712,1,1,24,2021-03-20 23:36:46.000,1616270806,Operation,0,12,1
1061758,8346,11,7.8,23:36:53,2021/03/20,83712,1,1,24,2021-03-20 23:36:53.000,1616270813,Operation,0,12,1
1061759,9286,11,8.1,23:37:01,2021/03/20,83712,1,1,24,2021-03-20 23:37:01.000,1616270821,Operation,0,12,1
1061760,9287,11,1.38,23:37:04,2021/03/20,83712,1,1,24,2021-03-20 23:37:04.000,1616270824,Operation,0,12,1
1061872,8341,11,0.21,02:13:37,2021/03/21,83712,1,1,24,2021-03-21 02:13:37.000,1616280217,Operation,0,12,1
1061873,8342,11,12.3,02:13:42,2021/03/21,83712,1,1,24,2021-03-21 02:13:42.000,1616280222,Operation,0,12,1
1061874,8343,11,62.0,02:13:58,2021/03/21,83712,1,1,24,2021-03-21 02:13:58.000,1616280238,Operation,0,12,1
1061875,8344,11,-205.0,02:14:05,2021/03/21,83712,1,1,24,2021-03-21 02:14:05.000,1616280245,Operation,0,12,1
1061877,8346,11,7.8,02:14:12,2021/03/21,83712,1,1,24,2021-03-21 02:14:12.000,1616280252,Operation,0,12,1
1061878,9286,11,8.1,02:14:21,2021/03/21,83712,1,1,24,2021-03-21 02:14:21.000,1616280261,Operation,0,12,1
1061879,9287,11,1.38,02:14:25,2021/03/21,83712,1,1,24,2021-03-21 02:14:25.000,1616280265,Operation,0,12,1
1061979,8341,11,0.21,05:35:28,2021/03/21,83809,1,1,24,2021-03-21 05:35:28.000,1616292328,Operation,0,12,1
1061980,8342,11,12.3,05:35:31,2021/03/21,83809,1,1,24,2021-03-21 05:35:31.000,1616292331,Operation,0,12,1
1061981,8343,11,62.0,05:35:36,2021/03/21,83809,1,1,24,2021-03-21 05:35:36.000,1616292336,Operation,0,12,1
1061982,8344,11,-205.0,05:35:41,2021/03/21,83809,1,1,24,2021-03-21 05:35:41.000,1616292341,Operation,0,12,1
1061984,8346,11,7.8,05:35:48,2021/03/21,83809,1,1,24,2021-03-21 05:35:48.000,1616292348,Operation,0,12,1
1061985,9286,11,8.1,05:35:56,2021/03/21,83809,1,1,24,2021-03-21 05:35:56.000,1616292356,Operation,0,12,1
1061986,9287,11,1.38,05:36:00,2021/03/21,83809,1,1,24,2021-03-21 05:36:00.000,1616292360,Operation,0,12,1
1062077,8341,11,0.23,08:47:54,2021/03/21,83808,1,1,24,2021-03-21 08:47:54.000,1616303874,Operation,0,12,1
1062078,8342,11,0.23,08:48:19,2021/03/21,83808,1,1,24,2021-03-21 08:48:19.000,1616303899,Operation,0,12,1
