ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
1054944,9343,11,100.0,09:30:10,2021/03/15,83858,1,1,21,2021-03-15 09:30:10.000,1615788010,Operation,1,12,1
1054945,9344,11,10.0,09:31:09,2021/03/15,83858,1,1,21,2021-03-15 09:31:09.000,1615788069,Operation,1,12,1
1054946,9343,11,110.0,09:03:48,2021/03/16,83741,1,1,21,2021-03-16 09:03:48.000,1615872828,Operation,1,12,1
1054947,9344,11,32.0,09:03:57,2021/03/16,83741,1,1,21,2021-03-16 09:03:57.000,1615872837,Operation,1,12,1
1054960,9357,11,16.0,09:07:34,2021/03/16,83741,1,1,21,2021-03-16 09:07:34.000,1615873054,Operation,1,12,1
1054965,9362,11,53.0,09:08:30,2021/03/16,83741,1,1,21,2021-03-16 09:08:30.000,1615873110,Operation,1,12,1
1054966,9363,11,18.0,09:08:32,2021/03/16,83741,1,1,21,2021-03-16 09:08:32.000,1615873112,Operation,1,12,1
1054967,9364,11,49.0,09:08:37,2021/03/16,83741,1,1,21,2021-03-16 09:08:37.000,1615873117,Operation,1,12,1
1054968,9365,11,27.0,09:08:39,2021/03/16,83741,1,1,21,2021-03-16 09:08:39.000,1615873119,Operation,1,12,1
1054969,9366,11,19.0,09:08:47,2021/03/16,83741,1,1,21,2021-03-16 09:08:47.000,1615873127,Operation,1,12,1
1054970,9367,11,14.0,09:08:48,2021/03/16,83741,1,1,21,2021-03-16 09:08:48.000,1615873128,Operation,1,12,1
1054974,9371,11,66.0,09:09:31,2021/03/16,83741,1,1,21,2021-03-16 09:09:31.000,1615873171,Operation,1,12,1
1054975,9372,11,65.0,09:09:34,2021/03/16,83741,1,1,21,2021-03-16 09:09:34.000,1615873174,Operation,1,12,1
1054976,9373,11,58.0,09:09:37,2021/03/16,83741,1,1,21,2021-03-16 09:09:37.000,1615873177,Operation,1,12,1
1055669,9343,11,96.0,12:23:42,2021/03/17,83683,1,1,21,2021-03-17 12:23:42.000,1615971222,Operation,1,12,1
1055670,9344,11,26.0,12:23:55,2021/03/17,83683,1,1,21,2021-03-17 12:23:55.000,1615971235,Operation,1,12,1
1055683,9357,11,28.0,12:30:12,2021/03/17,83683,1,1,21,2021-03-17 12:30:12.000,1615971612,Operation,1,12,1
1055689,9362,11,55.0,12:32:17,2021/03/17,83683,1,1,21,2021-03-17 12:32:17.000,1615971737,Operation,1,12,1
1055690,9363,11,18.0,12:32:23,2021/03/17,83683,1,1,21,2021-03-17 12:32:23.000,1615971743,Operation,1,12,1
1055691,9364,11,52.0,12:32:40,2021/03/17,83683,1,1,21,2021-03-17 12:32:40.000,1615971760,Operation,1,12,1
1055692,9365,11,28.6,12:32:45,2021/03/17,83683,1,1,21,2021-03-17 12:32:45.000,1615971765,Operation,1,12,1
1055693,9366,11,20.3,12:33:25,2021/03/17,83683,1,1,21,2021-03-17 12:33:25.000,1615971805,Operation,1,12,1
1055694,9367,11,13.0,12:33:28,2021/03/17,83683,1,1,21,2021-03-17 12:33:28.000,1615971808,Operation,1,12,1
1055699,9371,11,65.0,12:34:48,2021/03/17,83683,1,1,21,2021-03-17 12:34:48.000,1615971888,Operation,1,12,1
1055700,9372,11,58.0,12:35:05,2021/03/17,83683,1,1,21,2021-03-17 12:35:05.000,1615971905,Operation,1,12,1
1055701,9373,11,54.0,12:35:19,2021/03/17,83683,1,1,21,2021-03-17 12:35:19.000,1615971919,Operation,1,12,1
1055797,9343,11,102.0,09:33:54,2021/03/18,83771,1,1,21,2021-03-18 09:33:54.000,1616047434,Operation,1,12,1
1055798,9344,11,27.0,09:33:59,2021/03/18,83771,1,1,21,2021-03-18 09:33:59.000,1616047439,Operation,1,12,1
1055811,9357,11,24.0,09:40:34,2021/03/18,83771,1,1,21,2021-03-18 09:40:34.000,1616047834,Operation,1,12,1
1055817,9362,11,55.0,09:42:19,2021/03/18,83771,1,1,21,2021-03-18 09:42:19.000,1616047939,Operation,1,12,1
1055818,9363,11,19.0,09:42:20,2021/03/18,83771,1,1,21,2021-03-18 09:42:20.000,1616047940,Operation,1,12,1
1055819,9364,11,55.0,09:42:23,2021/03/18,83771,1,1,21,2021-03-18 09:42:23.000,1616047943,Operation,1,12,1
1055820,9365,11,28.0,09:42:25,2021/03/18,83771,1,1,21,2021-03-18 09:42:25.000,1616047945,Operation,1,12,1
1055821,9366,11,22.0,09:42:30,2021/03/18,83771,1,1,21,2021-03-18 09:42:30.000,1616047950,Operation,1,12,1
1055822,9367,11,13.0,09:42:32,2021/03/18,83771,1,1,21,2021-03-18 09:42:32.000,1616047952,Operation,1,12,1
1055827,9371,11,61.0,09:45:05,2021/03/18,83771,1,1,21,2021-03-18 09:45:05.000,1616048105,Operation,1,12,1
