ID,AssetID,UnitID,Value,RecordTime,RecordDate,PersonelID,OutofRange,ValueType,MobileID,DateTime,TimeStamp,Job,IsDeleted,ShiftCode,OnTime
1054944,9343,11,100,9:30:10,3/15/2021,83858,1,1,21,30:10.0,1615788010,Operation,1,12,1
1054946,9343,11,110,9:03:48,3/16/2021,83741,1,1,21,03:48.0,1615872828,Operation,1,12,1
1054960,9357,11,16,9:07:34,3/16/2021,83741,1,1,21,07:34.0,1615873054,Operation,1,12,1
1054978,9375,11,55,9:10:04,3/16/2021,83741,1,1,21,10:04.0,1615873204,Operation,1,12,1
1055669,9343,11,96,12:23:42,3/17/2021,83683,1,1,21,23:42.0,1615971222,Operation,1,12,1
1055683,9357,11,28,12:30:12,3/17/2021,83683,1,1,21,30:12.0,1615971612,Operation,1,12,1
1055703,9375,11,53,12:40:23,3/17/2021,83683,1,1,21,40:23.0,1615972223,Operation,1,12,1
1055797,9343,11,102,9:33:54,3/18/2021,83771,1,1,21,33:54.0,1616047434,Operation,1,12,1
1055811,9357,11,24,9:40:34,3/18/2021,83771,1,1,21,40:34.0,1616047834,Operation,1,12,1
1055831,9375,11,49,9:45:53,3/18/2021,83771,1,1,21,45:53.0,1616048153,Operation,1,12,1
1055869,9343,11,103,9:09:17,3/19/2021,83736,1,1,21,09:17.0,1616132357,Operation,0,12,1
1055872,9343,11,33,12:01:17,3/19/2021,83736,1,1,21,01:17.0,1616142677,Operation,0,12,1
1055886,9357,11,25,12:04:10,3/19/2021,83736,1,1,21,04:10.0,1616142850,Operation,0,12,1
1055906,9375,11,50,12:06:44,3/19/2021,83736,1,1,21,06:44.0,1616143004,Operation,0,12,1
1056953,8341,11,0.23,12:46:14,3/17/2021,83808,1,1,24,46:14.0,1615972574,Operation,1,12,1
1056954,8342,11,12.3,12:46:25,3/17/2021,83808,1,1,24,46:25.0,1615972585,Operation,1,12,1
1056955,8343,11,66,12:46:31,3/17/2021,83808,1,1,24,46:31.0,1615972591,Operation,1,12,1
